Front (ES),Back (EN),Audio,Notes,Alternative,Reply,Type,Tags,Level
Necesito verte,I need to see you,[sound:Necesito_verte_194981da.mp3],"Expression of desire/urgency to meet. Example: 'Necesito verte, tenemos que hablar' (I need to see you, we have to talk) or romantic: 'Necesito verte, te extraño'",Desire/urgency to meet,,basic,general,3
Nel,Nope / No / Nah,[sound:Nel_26fd5c72.mp3],"Informal/slang 'no'. Casual rejection. Example: '¿Quieres ir?' - 'Nel, estoy cansado' (Want to go? - Nah, I'm tired)",Slang: nope/no,,basic,general,3
Netflix and chill,Netflix and chill,[sound:Netflix_and_chill_f20cc08e.mp3],English phrase used in Spanish. Euphemism for casual hookup disguised as watching Netflix. Example: '¿Netflix and chill?' (invitation to hook up),English: euphemism for hookup,,basic,general,3
Ni de vainas,No way / Not a chance / Hell no,[sound:Ni_de_vainas_8a735b4e.mp3],Colombian slang. Strong negative. 'Vainas' = things/stuff. Example: '¿Vas a salir con él?' - 'Ni de vainas' (Are you going out with him? - No way),Colombian: strong no,,basic,general,3
Ni por el putas,Not for shit / No fucking way,[sound:Ni_por_el_putas_93737b2e.mp3],VULGAR Colombian expression. Strongest negative. Example: '¿Vas a hacer eso?' - 'Ni por el putas' (Are you going to do that? - No fucking way),Strong negative | Vulgar expression,,basic,general,3
No aguanto más sin verte,I can't stand not seeing you anymore / I can't take not seeing you,[sound:No_aguanto_más_sin_verte_4acf0d51.mp3],"Romantic expression of missing someone intensely. Example: 'No aguanto más sin verte, ven pronto' (I can't stand not seeing you anymore, come soon)",Intense missing someone,,basic,general,3
No busco nada serio,I'm not looking for anything serious,[sound:No_busco_nada_serio_9938b18d.mp3],"Dating statement about wanting casual relationship. Example: 'No busco nada serio, solo pasarla bien' (I'm not looking for anything serious, just to have a good time)",Dating: seeking casual only,,basic,general,3
No era mi intención,It wasn't my intention / I didn't mean to,[sound:No_era_mi_intención_1de817d5.mp3],Apology/clarification. Example: 'No era mi intención molestarte' (I didn't mean to bother you),Apology: didn't mean to,,basic,general,3
No hay afán,There's no rush / No hurry / Take your time,[sound:No_hay_afán_41a511c8.mp3],"Colombian expression. 'Afán' = rush/hurry. Example: 'No hay afán, tómate tu tiempo' (There's no rush, take your time)",Colombian: no rush/hurry,,basic,general,3
No hay lío,No problem / No worries / It's all good,[sound:No_hay_lío_4fab0b93.mp3],Colombian slang. 'Lío' = problem/mess. Example: '¿Te molesta?' - 'No hay lío' (Does it bother you? - No problem),Colombian: no problem,,basic,general,3
No joda,Don't mess around / No way / Come on,[sound:No_joda_a8e0d959.mp3],"Colombian expression. Can mean: don't bother me, no way, really?. Context matters. Example: '¿En serio?' - 'No joda, es verdad' (Really? - No way, it's true)",Colombian: don't mess/no way,,basic,general,3
No me digas,Don't tell me / No way / You don't say,[sound:No_me_digas_cb8111ec.mp3],Expression of surprise/disbelief. Example: '¿Ganaste?' - 'No me digas!' (You won? - No way!),Surprise/disbelief,,basic,general,3
No me merezco alguien tan especial,I don't deserve someone so special,[sound:No_me_merezco_alguien_tan_especial_66d034f6.mp3],"Humble/self-deprecating statement. Example: 'Eres increíble, no me merezco alguien tan especial' (You're incredible, I don't deserve someone so special)",Humble romantic statement,,basic,general,3
No me provoques,Don't provoke me / Don't tempt me / Don't push me,[sound:No_me_provoques_9a0c6629.mp3],Warning against provocation. Can be threatening or flirtatious. Example (flirty): 'No me provoques que no respondo' (Don't provoke me or I won't be responsible),Warning | Threatening or flirty,,basic,general,3
No me sueltes,Don't let me go / Don't let go of me,[sound:No_me_sueltes_54d8905b.mp3],"Request to hold on. Physical or emotional. Example (romantic): 'No me sueltes, quédate conmigo' (Don't let me go, stay with me)",Don't let go | Physical or emotional,,basic,general,3
No pares,Don't stop,[sound:No_pares_9f47222d.mp3],"Imperative to continue. Various contexts. Example: 'Está rico, no pares' (It's good, don't stop) - can be food, activity, or intimate.",Don't stop | Various contexts,,basic,general,3
No sea sapo,Don't be a snitch / Don't be nosy / Mind your business,[sound:No_sea_sapo_751d8c92.mp3],"Colombian slang. 'Sapo' = toad/snitch. Example: 'No sea sapo, no cuente nada' (Don't be a snitch, don't tell anything)",Colombian: don't snitch/be nosy,,basic,general,3
No seas mico,Don't be silly / Don't be a fool / Don't monkey around,[sound:No_seas_mico_58d94a91.mp3],"Colombian expression. 'Mico' = monkey. Example: 'No seas mico, ponte serio' (Don't be silly, get serious)",Colombian: don't be silly,,basic,general,3
No way,No way,[sound:No_way_006e65c5.mp3],English phrase used in Spanish. Expression of refusal/disbelief. Example: '¿Vas a hacer eso?' - 'No way' (Are you going to do that? - No way),English: no way,,basic,general,3
Nos pueden sentar afuera o adentro,Can you seat us outside or inside?,[sound:Nos_pueden_sentar_afuera_o_adentro_bf46f2f0.mp3],Restaurant seating request. Example: '¿Nos pueden sentar afuera o adentro está bien?' (Can you seat us outside or inside is fine?),Restaurant: seating preference,,basic,general,3
Noventa,Ninety / 90,[sound:Noventa_2c67c8c3.mp3],"The number 90. Example: 'Noventa mil pesos' (90,000 pesos)",Number 90,,basic,general,3
Nunca había sentido esto,I had never felt this / I've never felt this before,[sound:Nunca_había_sentido_esto_647e1e98.mp3],Expression of new/unprecedented feeling. Usually romantic. Example: 'Nunca había sentido esto por nadie' (I've never felt this for anyone),New unprecedented feeling,,basic,general,3
Nunca te dejaré,I will never leave you,[sound:Nunca_te_dejaré_fb356ed4.mp3],"Romantic commitment statement. Example: 'Nunca te dejaré, estaré siempre contigo' (I will never leave you, I'll always be with you)",Romantic commitment,,basic,general,3
Ochenta,Eighty / 80,[sound:Ochenta_b87bfd44.mp3],"The number 80. Example: 'Ochenta mil pesos' (80,000 pesos)",Number 80,,basic,general,3
Ojo ahí,Watch out there / Be careful there / Pay attention,[sound:Ojo_ahí_9c94a1af.mp3],"Colombian warning. 'Ojo' = eye (watch out). Example: 'Ojo ahí con ese tipo, no me gusta' (Watch out there with that guy, I don't like him)",Colombian: watch out/be careful,,basic,general,3
Otra vez,Again / Another time / Once more,[sound:Otra_vez_fd81e90f.mp3],Repetition indication. Example: 'Lo hicimos otra vez' (We did it again) or 'Otra vez tú' (You again),Again/another time,,basic,general,3
Pana,Buddy / Pal / Friend,[sound:Pana_6f9ddc64.mp3],"Venezuelan/Colombian slang for friend. Example: 'Qué más, pana' (What's up, buddy)",Venezuelan/Colombian: friend/buddy,,basic,general,3
Para mí lo mismo,Same for me / The same for me,[sound:Para_mí_lo_mismo_b24e1ec7.mp3],Ordering same thing as someone else. Example: 'Yo quiero pizza' - 'Para mí lo mismo' (I want pizza - Same for me),Ordering: same as other person,,basic,general,3
Para nada,Not at all / Not for anything,[sound:Para_nada_371520bd.mp3],Strong negative. Example: '¿Te molesta?' - 'Para nada' (Does it bother you? - Not at all),Strong negative: not at all,,basic,general,3
Para siempre,Forever / Always,[sound:Para_siempre_400cd618.mp3],Time duration: forever. Example: 'Te amaré para siempre' (I will love you forever),Forever/always,,basic,general,3
Pasemos la noche juntos,Let's spend the night together,[sound:Pasemos_la_noche_juntos_d848b7b6.mp3],"Invitation to spend night together. Usually romantic/sexual implication. Example: 'Pasemos la noche juntos, no quiero que te vayas' (Let's spend the night together, I don't want you to leave)",Night together | Usually romantic,,basic,general,3
Pecado andante,Walking sin / Sin on legs,[sound:Pecado_andante_f25f631f.mp3],"Flirtatious expression meaning irresistibly tempting. Example: 'Eres un pecado andante, no puedo resistirme' (You're a walking sin, I can't resist)",Flirty: irresistibly tempting,,basic,general,3
Pedimos una botella o por tragos,Should we order a bottle or by drinks?,[sound:Pedimos_una_botella_o_por_tragos_ff6b75b6.mp3],Bar/club question about ordering. Bottle service vs. individual drinks. Example: '¿Pedimos una botella o por tragos? ¿Qué sale mejor?' (Should we order a bottle or by drinks? Which is better?),Bar: bottle or individual drinks?,,basic,general,3
Pensé que aguantabas más,I thought you could handle more / I thought you'd last longer,[sound:Pensé_que_aguantabas_más_4f3a68bc.mp3],"Teasing about endurance. Can be exercise, drinking, or intimate. Example: '¿Ya te cansaste? Pensé que aguantabas más' (You're tired already? I thought you could handle more)",Teasing about endurance,,basic,general,3
Perdí mi número de teléfono me das el tu,"I lost my phone number, can you give me yours?",[sound:Perdí_mi_número_de_teléfono_me_das_el_tu_069299d3.mp3],"Cheesy pickup line. Humorous way to ask for someone's number. Example: 'Perdí mi número de teléfono me das el tuyo para llamarme?' (I lost my phone number, can you give me yours so I can call myself?)",Cheesy pickup line,,basic,general,3
Perfecto hagámoslo así,"Perfect, let's do it like that",[sound:Perfecto_hagámoslo_así_177414da.mp3],"Agreement with plan. Example: 'Perfecto hagámoslo así, me parece bien' (Perfect, let's do it like that, sounds good to me)",Agreement with plan,,basic,general,3
Perreemos,Let's dance reggaeton / Let's perrear,[sound:Perreemos_ff883273.mp3],'Perrear' = dance reggaeton (grinding dance style). Example: '¿Perreemos? Esta canción está buena' (Let's perrear? This song is good),Dance reggaeton | Grinding style,,basic,general,3
Perro,Dog / Dude (slang),[sound:Perro_f2e4ddee.mp3],Literal: dog. Slang: dude/friend. Can also mean 'player' (womanizer). Example: 'Ese perro es mi amigo' (That dude is my friend) or 'Es un perro' (He's a player),Dog | Slang: dude/player,,basic,general,3
Pica mucho,It's very spicy / It itches a lot,[sound:Pica_mucho_5e0f0763.mp3],Two meanings: 1) Very spicy (food) 2) Itches a lot. Example: 'Esta salsa pica mucho' (This sauce is very spicy) or 'Me pica mucho el mosquito' (The mosquito bite itches a lot),Very spicy | Itches a lot,,basic,general,3
Pidamos un Uber,Let's order an Uber / Let's get an Uber,[sound:Pidamos_un_Uber_83002841.mp3],"Suggestion to get rideshare. Very common in Colombian cities. Example: 'Está lloviendo, pidamos un Uber' (It's raining, let's get an Uber)",Get rideshare suggestion,,basic,general,3
Pilas con el hueco,Watch out for the pothole / Be careful with the hole,[sound:Pilas_con_el_hueco_fb22cd44.mp3],Colombian warning. 'Pilas' = alert/watch out. 'Hueco' = hole/pothole. Colombian roads notorious for potholes. Example: 'Pilas con el hueco en la calle' (Watch out for the pothole in the street),Colombian: watch for pothole,,basic,general,3
Piquito,Little kiss / Peck,[sound:Piquito_7c18c1d1.mp3],Diminutive of 'pico' (Colombian slang for kiss). Small kiss/peck. Example: 'Dame un piquito antes de irte' (Give me a little kiss before you go),Little kiss/peck,,basic,general,3
Policía te arrestó por estar tan buenobu,The police arrested you for being so hot,[sound:Policía_te_arrestó_por_estar_tan_buenobu_4be60fe8.mp3],"Flirtatious pickup line. Playful compliment. Example: 'La policía te arrestó por estar tan buena, eres ilegal' (The police arrested you for being so hot, you're illegal)",Flirty pickup line,,basic,general,3
Por ahí sí,That way yes / Maybe that way / That could work,[sound:Por_ahí_sí_fb4b417f.mp3],Colombian expression of tentative agreement. Example: '¿Vamos mañana?' - 'Por ahí sí' (Shall we go tomorrow? - Maybe that way),Colombian: tentative agreement,,basic,general,3
Prefieres que te acompañe al médico,Do you prefer that I accompany you to the doctor?,[sound:Prefieres_que_te_acompañe_al_médico_87f5f03b.mp3],Caring offer to go to medical appointment. Example: '¿Prefieres que te acompañe al médico? No tienes que ir sola' (Do you prefer that I accompany you to the doctor? You don't have to go alone),Caring medical appointment offer,,basic,general,3
Prefieres que te llame o que te escriba,Do you prefer that I call you or text you?,[sound:Prefieres_que_te_llame_o_que_te_escriba_48717db8.mp3],Communication preference question. Example: '¿Prefieres que te llame o que te escriba por WhatsApp?' (Do you prefer that I call you or text you on WhatsApp?),Communication preference question,,basic,general,3
Primero,First,[sound:Primero_aeecfbf6.mp3],Ordinal number: first. Example: 'Primero vamos a comer' (First we're going to eat) or 'El primero en llegar' (The first to arrive),First | Ordinal,,basic,general,3
Princesa,Princess,[sound:Princesa_5bc7db7e.mp3],"Term of endearment. Example: 'Hola princesa, cómo amaneciste?' (Hi princess, how did you wake up?)",Term of endearment: princess,,basic,general,3
Préndeme,Turn me on / Light me up,[sound:Préndeme_af4cc619.mp3],Can mean: 1) Light (cigarette) 2) Turn on (sexually). Example (sexual): 'Préndeme con esa mirada' (Turn me on with that look),Turn on | Light up,,basic,general,3
Pásate al otro lado,Move to the other side / Come to the other side,[sound:Pásate_al_otro_lado_98ec5a69.mp3],Direction to move to opposite side. Example: 'Pásate al otro lado del sofá' (Move to the other side of the sofa),Move to other side,,basic,general,3
Pórtate mal conmigo,Be bad with me / Misbehave with me,[sound:Pórtate_mal_conmigo_a8b81e8e.mp3],Flirtatious invitation to be naughty. Example: 'Pórtate mal conmigo esta noche' (Be bad with me tonight),Flirty: be naughty with me,,basic,general,3
Que descanses hablamos luego,"Rest well, we'll talk later",[sound:Que_descanses_hablamos_luego_67221434.mp3],"Goodnight/goodbye phrase. Example: 'Ya me voy a dormir, que descanses hablamos luego' (I'm going to sleep now, rest well, we'll talk later)",Goodnight phrase,,basic,general,3
Que descanses y sueñes conmigo,Rest well and dream of me,[sound:Que_descanses_y_sueñes_conmigo_9343665b.mp3],"Romantic goodnight phrase. Example: 'Buenas noches mi amor, que descanses y sueñes conmigo' (Goodnight my love, rest well and dream of me)",Romantic goodnight,,basic,general,3
Que empieces el día con buena energía,May you start the day with good energy,[sound:Que_empieces_el_día_con_buena_energía_4241ab8e.mp3],"Well-wishing for someone's day. Example: 'Buenos días, que empieces el día con buena energía' (Good morning, may you start the day with good energy)",Good morning wish,,basic,general,3
Quedé muertomuerta,I'm dead (exhausted) / I'm wiped out,[sound:Quedé_muertomuerta_0d9283e2.mp3],Expression of extreme tiredness. Example: 'Después del gimnasio quedé muerto' (After the gym I'm wiped out),Extremely tired expression,,basic,general,3
Quedémonos juntos,Let's stay together,[sound:Quedémonos_juntos_da6efc2a.mp3],"Suggestion or commitment to stay together. Example: 'No quiero que te vayas, quedémonos juntos' (I don't want you to leave, let's stay together)",Stay together | Physical or romantic,,basic,general,3
Quememos calorías,Let's burn calories,[sound:Quememos_calorías_94570207.mp3],Exercise suggestion OR sexual euphemism. Example: '¿Quememos calorías en el gimnasio?' (Let's burn calories at the gym?) or euphemism for sex.,Burn calories | Exercise or euphemism,,basic,general,3
Quisiera ser tu almohada para estar en t,I wish I were your pillow so I could be in your dreams,[sound:Quisiera_ser_tu_almohada_para_estar_en_t_0a436f15.mp3],Romantic/poetic pickup line. Cheesy but endearing. Example: 'Quisiera ser tu almohada para estar en tus sueños toda la noche' (I wish I were your pillow so I could be in your dreams all night),Romantic pickup line | Cheesy,,basic,general,3
Qué alegría escucharte,What a joy to hear you / So glad to hear from you,[sound:Qué_alegría_escucharte_0aa77072.mp3],Warm greeting expression. Example: '¡Qué alegría escucharte! Cuánto tiempo sin hablar' (What a joy to hear you! It's been so long since we talked),Warm greeting | Happy to hear,,basic,general,3
Qué boleta,What embarrassment / How embarrassing,[sound:Qué_boleta_2fe14727.mp3],Colombian slang. 'Boleta' = embarrassing situation. Example: 'Qué boleta lo que hice' (How embarrassing what I did),Colombian: how embarrassing,,basic,general,3
Qué buena energía,What good energy / Such good vibes,[sound:Qué_buena_energía_4587b416.mp3],"Positive observation about someone's energy/vibe. Example: 'Qué buena energía tienes, me encanta' (What good energy you have, I love it)",Good energy/vibes observation,,basic,general,3
Qué buscas,What are you looking for?,[sound:Qué_buscas_f4a9e147.mp3],Question about search or intentions. Example: '¿Qué buscas en una relación?' (What are you looking for in a relationship?),What are you seeking?,,basic,general,3
Qué clima tan loco,What crazy weather,[sound:Qué_clima_tan_loco_0fec4d24.mp3],"Comment on unpredictable weather. Colombian weather can change rapidly. Example: 'Qué clima tan loco, hace sol y lluvia al mismo tiempo' (What crazy weather, it's sunny and raining at the same time)",Crazy weather comment,,basic,general,3
Qué cuentas,What's up? / What's new? / What do you tell?,[sound:Qué_cuentas_f469ac84.mp3],Casual greeting asking for news/updates. Example: '¿Qué cuentas? ¿Qué hay de nuevo?' (What's up? What's new?),Casual: what's new?,,basic,general,3
Qué cuerpazo,What a body! / Amazing body!,[sound:Qué_cuerpazo_6945635a.mp3],Strong compliment about physique. 'Cuerpazo' = augmentative of 'cuerpo'. Example: '¡Qué cuerpazo tienes! Haces ejercicio?' (What a body you have! Do you work out?),Strong body compliment,,basic,general,3
Qué cuerpo tan rico,What a delicious body / Such a hot body,[sound:Qué_cuerpo_tan_rico_228ce151.mp3],"Flirtatious body compliment. 'Rico' = delicious/hot. Example: 'Qué cuerpo tan rico tienes, me encantas' (What a hot body you have, I love you)",Flirty body compliment,,basic,general,3
Qué delicia,How delicious / What a delight,[sound:Qué_delicia_e7031531.mp3],Expression about something delicious/delightful. Food or experience. Example: '¡Qué delicia este plato!' (How delicious this dish!),Delicious/delightful expression,,basic,general,3
Qué gusto verte,What a pleasure to see you / So good to see you,[sound:Qué_gusto_verte_228908ae.mp3],Warm greeting. Example: '¡Qué gusto verte! Cuánto tiempo' (So good to see you! It's been so long),Warm greeting | Pleasure to see,,basic,general,3
Qué hora es,What time is it?,[sound:Qué_hora_es_432b6445.mp3],Asking for current time. Example: '¿Qué hora es? Se me hace tarde' (What time is it? I'm running late),Asking for time,,basic,general,3
Qué hubo pues,What's up then? / Hey what's up?,[sound:Qué_hubo_pues_f90d7f47.mp3],"Colombian casual greeting. 'Qué hubo' = what's up. Example: 'Qué hubo pues, parcero, todo bien?' (What's up then, buddy, all good?)",Colombian: casual what's up,,basic,general,3
Qué mamera,What a drag / How boring / What a pain,[sound:Qué_mamera_02eed299.mp3],Colombian slang. 'Mamera' = boring/annoying thing. Example: 'Qué mamera tener que trabajar hoy' (What a drag having to work today),Colombian: what a drag/boring,,basic,general,3
Qué me recomiendas,What do you recommend?,[sound:Qué_me_recomiendas_944a24b1.mp3],"Asking for recommendation. Restaurant, activity, etc. Example: '¿Qué me recomiendas de este menú?' (What do you recommend from this menu?)",Asking for recommendation,,basic,general,3
Qué me vas a hacer,What are you going to do to me?,[sound:Qué_me_vas_a_hacer_bcb3f0d9.mp3],"Question with various tones: threatening, flirtatious, playful. Example (flirty): '¿Qué me vas a hacer si no te obedezco?' (What are you going to do to me if I don't obey you?)",What will you do to me?,,basic,general,3
Qué mico,How silly / What a fool / How embarrassing,[sound:Qué_mico_fa502684.mp3],Colombian expression. 'Mico' = monkey/silly. Example: 'Qué mico hice' (How silly I was / How embarrassing),Colombian: how silly/embarrassing,,basic,general,3
Qué más pues,What's up then? / What else?,[sound:Qué_más_pues_5da5e149.mp3],"Colombian greeting/conversation filler. 'Qué más' = what else/what's up. Example: 'Qué más pues, todo bien?' (What's up then, all good?)",Colombian: what's up?,,basic,general,3
Qué música te gusta,What music do you like?,[sound:Qué_música_te_gusta_dd85e1f3.mp3],Getting-to-know-you question. Example: '¿Qué música te gusta? ¿Eres más de salsa o reggaeton?' (What music do you like? Are you more into salsa or reggaeton?),Music preference question,,basic,general,3
Qué nota,How cool / That's awesome / What a vibe,[sound:Qué_nota_c60c884c.mp3],Colombian slang. 'Nota' = cool/awesome. Example: 'Esa fiesta estuvo qué nota' (That party was awesome),Colombian: cool/awesome,,basic,general,3
Qué nota,How cool / That's awesome / What a vibe,[sound:Qué_nota_f9cb5537.mp3],Colombian slang. 'Nota' = cool/awesome. Example: 'Esa fiesta estuvo qué nota' (That party was awesome),Colombian: cool/awesome,,basic,general,3
Qué ojos tan lindos tienes,What beautiful eyes you have,[sound:Qué_ojos_tan_lindos_tienes_6e2e1d73.mp3],"Compliment. Example: 'Qué ojos tan lindos tienes, me encanta tu mirada' (What beautiful eyes you have, I love your gaze)",Eyes compliment,,basic,general,3
Qué quisiste decir con eso,What did you mean by that?,[sound:Qué_quisiste_decir_con_eso_0664e2c7.mp3],Asking for clarification. Can be confused or confrontational. Example: '¿Qué quisiste decir con eso? No entendí' (What did you mean by that? I didn't understand),Asking for clarification,,basic,general,3
Qué sexy eres,How sexy you are / You're so sexy,[sound:Qué_sexy_eres_2114cb73.mp3],Direct sexy compliment. Example: 'Qué sexy eres cuando bailas' (How sexy you are when you dance),Sexy compliment,,basic,general,3
Qué somos,What are we?,[sound:Qué_somos_50d61fa8.mp3],Relationship definition question. Example: '¿Qué somos? ¿Somos novios o qué?' (What are we? Are we boyfriend/girlfriend or what?),Relationship status question,,basic,general,3
Qué suerte la mía,How lucky I am / What luck is mine,[sound:Qué_suerte_la_mía_6272ea4c.mp3],Expression of feeling fortunate. Can be sarcastic or genuine. Example: 'Qué suerte la mía conocerte' (How lucky I am to meet you),Feeling fortunate | Can be sarcastic,,basic,general,3
Qué te gusta de este sitio,What do you like about this place?,[sound:Qué_te_gusta_de_este_sitio_7b7d9cae.mp3],Question about place preferences. Example: '¿Qué te gusta de este sitio? A mí me encanta el ambiente' (What do you like about this place? I love the atmosphere),Place preference question,,basic,general,3
Qué áspero,How rough / How harsh,[sound:Qué_áspero_659c01f0.mp3],"Colombian expression about something rough/harsh/difficult. Can be situation, texture, or taste. Example: 'Qué áspero ese examen' (How rough that exam was) or 'Qué áspero el clima' (How harsh the weather)",Colombian: rough/harsh situation,,basic,general,3
Quédate conmigo,Stay with me,[sound:Quédate_conmigo_1f846a7c.mp3],"Request for someone to stay. Romantic or friendly. Example: 'No te vayas, quédate conmigo' (Don't go, stay with me)",Stay with me | Romantic or friendly,,basic,general,3
Re harto,Really fed up / Very tired of it,[sound:Re_harto_3b366edc.mp3],'Re' = intensifier (very/really). 'Harto' = fed up. Example: 'Estoy re harto de este trabajo' (I'm really fed up with this job),Intensified: very fed up,,basic,general,3
Recién,Just now / Recently / Newly,[sound:Recién_86f149f2.mp3],Time adverb meaning 'just now' or 'recently'. Example: 'Recién llegué' (I just arrived) or 'Recién casados' (Newlyweds),Just now | Recently,,basic,general,3
Recomiendas algo,Do you recommend something? / Any recommendations?,[sound:Recomiendas_algo_29df336e.mp3],"Asking for recommendation. Restaurant, activity, etc. Example: '¿Recomiendas algo de este menú?' (Do you recommend something from this menu?)",Asking for recommendation,,basic,general,3
Reggaetón bien pegaditos,Reggaeton dancing close together,[sound:Reggaetón_bien_pegaditos_5e9a9e5f.mp3],'Pegaditos' = diminutive of 'pegados' (stuck together). Dancing very close. Example: 'Bailemos reggaetón bien pegaditos' (Let's dance reggaeton really close together),Close dancing | Sensual,,basic,general,3
Regular,Regular / So-so / Not great,[sound:Regular_3db51983.mp3],"Mediocre response to '¿cómo estás?'. Example: '¿Cómo estás?' - 'Regular, he estado mejor' (How are you? - So-so, I've been better)",So-so | Mediocre,,basic,general,3
Repetimos,Should we repeat? / Let's do it again / Shall we go again?,[sound:Repetimos_1d41a3d2.mp3],"Suggestion to repeat an experience. Example: 'Esa cita estuvo increíble, ¿repetimos?' (That date was incredible, shall we do it again?)",Repeat suggestion | Date or activity,,basic,general,3
Respeto tu decisión,I respect your decision,[sound:Respeto_tu_decisión_691d5aaf.mp3],"Statement of respect for someone's choice. Example: 'No estoy de acuerdo, pero respeto tu decisión' (I don't agree, but I respect your decision)",Respect for choice,,basic,general,3
Salgamos a caminar solos,Let's go out for a walk alone,[sound:Salgamos_a_caminar_solos_12ddf66b.mp3],Invitation for private walk together. 'Solos' = alone/just the two of us. Example: 'Salgamos a caminar solos para hablar tranquilos' (Let's go for a walk alone to talk calmly),Private walk invitation,,basic,general,3
Santa no te trajo pero qué regalo,Santa didn't bring you but what a gift,[sound:Santa_no_te_trajo_pero_qué_regalo_f14fb912.mp3],Romantic/flirtatious Christmas line. Implies person is a gift even though not from Santa. Example: 'Santa no te trajo pero qué regalo me dieron contigo' (Santa didn't bring you but what a gift they gave me with you),Christmas flirt line,,basic,general,3
Sedúceme,Seduce me,[sound:Sedúceme_eae9aa20.mp3],Imperative challenge to seduce. Flirtatious invitation. Example: 'Sedúceme con tus palabras' (Seduce me with your words),Seduction challenge | Flirtatious,,basic,general,3
Segundo,Second,[sound:Segundo_a7b569f7.mp3],Ordinal number: second. Example: 'El segundo piso' (The second floor) or 'Un segundo' (One second/wait),Second | Ordinal or time unit,,basic,general,3
Sesenta,Sixty / 60,[sound:Sesenta_e6b457e5.mp3],"The number 60. Example: 'Sesenta mil pesos' (60,000 pesos)",Number 60,,basic,general,3
Setenta,Seventy / 70,[sound:Setenta_68462c02.mp3],The number 70. Example: 'Setenta años' (Seventy years old),Number 70,,basic,general,3
Si fueras lluvia yo sería Bogotá para te,If you were rain I'd be Bogotá to have you all the time,[sound:Si_fueras_lluvia_yo_sería_Bogotá_para_te_4f13abb3.mp3],"Romantic Colombian pickup line. Bogotá is very rainy. Means: If you were rain, I'd be Bogotá (rainy city) so I could have you all the time. Poetic cheesy compliment.",Romantic Bogotá rain pickup line,,basic,general,3
Si fueras una arepa te comería todos los,If you were an arepa I'd eat you every day,[sound:Si_fueras_una_arepa_te_comería_todos_los_3418b86c.mp3],Romantic food metaphor. Arepas are eaten daily in Colombia. Means: I'd want you every day like Colombians want arepas. Playful/cheesy pickup line.,Romantic arepa daily metaphor,,basic,general,3
Si fueras una palabra estarías en el dic,If you were a word you'd be in the dictionary under 'perfect',[sound:Si_fueras_una_palabra_estarías_en_el_dic_57e83864.mp3],Cheesy romantic compliment/pickup line. Implies you're the definition of perfection. Classic corny line still used playfully.,Cheesy dictionary perfect line,,basic,general,3
Si la belleza fuera delito yo te daría c,If beauty were a crime I'd give you life in prison,[sound:Si_la_belleza_fuera_delito_yo_te_daría_c_924462f7.mp3],Flirtatious pickup line. 'Cadena perpetua' = life sentence. Exaggerated compliment about extreme beauty being criminal. Colombian flirt culture.,Flirty beauty criminal pickup line,,basic,general,3
Siento algo bonito por ti,I feel something nice for you,[sound:Siento_algo_bonito_por_ti_b833016d.mp3],"Confession of romantic feelings. 'Algo bonito' = something nice/beautiful. Example: 'Siento algo bonito por ti, me gustas mucho' (I feel something nice for you, I really like you)",Romantic feelings confession,,basic,general,3
Sigue así,Keep going like that / Continue like that,[sound:Sigue_así_382ada3b.mp3],"Encouragement to continue. Can be various contexts. Example: 'Sigue así que vas bien' (Keep going like that, you're doing well) or sensual: 'Sigue así, me gusta' (Continue like that, I like it)",Encouragement | Various contexts,,basic,general,3
Sigue de largo,Keep going / Continue straight / Go right past,[sound:Sigue_de_largo_98a19176.mp3],Direction to continue without stopping. Example: 'Sigue de largo dos cuadras' (Keep going two blocks) or figurative: ignore/pass by something.,Continue without stopping,,basic,general,3
Siguiente,Next / Following,[sound:Siguiente_dd09909b.mp3],Adjective: next/following. Example: 'El siguiente en la fila' (The next in line) or 'La siguiente parada' (The next stop),Next/following,,basic,general,3
Simón,Yes / Yeah / Yep (slang),[sound:Simón_18cea6c1.mp3],Slang affirmative. Playful version of 'sí'. Example: '¿Vamos?' - 'Simón' (Shall we go? - Yeah),Slang: yes/yeah,,basic,general,3
Sin compromisos,No commitments / No strings attached,[sound:Sin_compromisos_9f3cae21.mp3],Dating/relationship term. Casual only. Example: 'Busco algo sin compromisos' (I'm looking for something with no commitments),No commitments | Casual only,,basic,general,3
Sin presiones,No pressure / Without pressure,[sound:Sin_presiones_412d7b7f.mp3],"Relaxed approach statement. Example: 'Vamos sin presiones, tranquilos' (Let's go without pressure, relaxed)",No pressure | Relaxed,,basic,general,3
Sin ti me deshidrato,Without you I dehydrate,[sound:Sin_ti_me_deshidrato_fe2c2ce7.mp3],Romantic metaphor meaning: I need you like water. Playful/poetic. Example: 'Sin ti me deshidrato porque eres mi agua' (Without you I dehydrate because you're my water),Romantic: you're essential like water,,basic,general,3
Sisas,Yes / Yeah / Yep (Colombian slang),[sound:Sisas_cb463811.mp3],Colombian slang affirmative. Very casual. Example: '¿Vienes?' - 'Sisas' (Are you coming? - Yeah),Colombian slang: yes,,basic,general,3
Sobra decir,It goes without saying / Needless to say,[sound:Sobra_decir_1657f226.mp3],Expression meaning something is obvious. Example: 'Sobra decir que me encantó' (It goes without saying that I loved it),It goes without saying,,basic,general,3
